glide_va,name,module,basis,file
0x10001130,BrSurfNew,drawing,filed,src/core/drawing/br_surf.c
0x10001190,BrSurfFree,drawing,filed,src/core/drawing/br_surf.c
0x10001240,BrSurfFromBitmap,drawing,filed,src/core/drawing/br_surf.c
0x10001290,BrBmpLoadSurface,drawing,filed,src/core/drawing/br_bmp.c
0x100013F0,BrUiSprBlitRows,menus,manual,src/core/generated/0x10001320.c
0x10001440,BrUiSprBlitKeyed,menus,manual,src/core/generated/0x10001320.c
0x100014E0,BrGlideLfbWrite,drawing,filed,src/core/drawing/br_surf.c
0x100018F0,FUN_100018f0,drawing,neighbour,src/core/drawing/br_chasecam.c
0x10001BB0,FUN_10001bb0,drawing,neighbour,src/core/drawing/br_chasecam.c
0x10001C90,BrVec3Predict,drawing,filed,src/core/drawing/br_surf.c
0x100023E0,BrCosF,geometry,description,src/core/geometry/br_cos.c
0x10002560,BrSinF,geometry,description,src/core/geometry/br_sin.c
0x10002570,BrSqrtF,geometry,description,src/core/geometry/br_sin.c
0x10002760,BrCdMaybeClose,audio,description,src/core/audio/br_cd.c
0x100027A0,BrGetGlobal_1C788,audio,neighbour-1,src/core/audio/br_cd.c
0x100027B0,BrCdTrackGetEar,audio,description,src/core/audio/br_cd.c
0x100027E0,FUN_100027e0,audio,description,src/core/audio/br_cd.c
0x10002830,FUN_10002830,audio,description,src/core/audio/br_cd.c
0x10002870,FUN_10002870,audio,description,src/core/audio/br_cd.c
0x100028E0,BrDispatch_100025C0,audio,filed,src/core/audio/br_musiccmd.c
0x10002910,BrCdStartup,net,description,src/core/net/br_cd.c
0x10002980,FUN_10002980,audio,description,src/core/audio/br_cd.c
0x10002AF0,BrCdTrackPlay,audio,description,src/core/audio/br_cdplay.c
0x10002B20,BrCdPlayClamped,audio,description,src/core/audio/br_cdplay.c
0x10002BA0,BrCdTrackRequest,audio,description,src/core/audio/br_cd.c
0x10002C00,BrCdTrackRandom,audio,description,src/core/audio/br_cd.c
0x10002C50,BrCdTrackGet,audio,description,src/core/audio/br_cd.c
0x10002C70,BrCdTrackPrev,audio,description,src/core/audio/br_cd.c
0x10002CB0,BrCdTrackNext,audio,description,src/core/audio/br_cd.c
0x10002CF0,BrCdTrackNextWrap,audio,description,src/core/audio/br_cd.c
0x10002D30,BrCdVolumeSet,audio,description,src/core/audio/br_cd.c
0x10002D60,BrCdVolumeScale,audio,description,src/core/audio/br_cd.c
0x10002DC0,BrCdEnableApply,audio,description,src/core/audio/br_cd.c
0x10002E20,BrCdMciPause,audio,description,src/core/audio/br_cd.c
0x10002E80,BrCdTrackResume,audio,description,src/core/audio/br_cd.c
0x10002EB0,BrCdPause,audio,manual,src/core/audio/br_cd.c
0x10002ED0,BrCdPauseMsg,audio,manual,src/core/audio/br_cd.c
0x10002F10,BrCdResume,audio,manual,src/core/audio/br_cd.c
0x10002F30,BrCdResumeMsg,audio,manual,src/core/audio/br_cd.c
0x10002F70,BrCdStop,audio,filed,src/core/audio/br_cd.c
0x10002F90,BrCdStopMsg,audio,filed,src/core/audio/br_cd.c
0x10002FD0,BrCdMciStop,audio,filed,src/core/audio/br_cd.c
0x10003230,BrU16CursorNext,gamedata,description,src/core/gamedata/br_u16cursor.c
0x10003280,BrU16QueuePop,gamedata,description,src/core/gamedata/br_u16cursor.c
0x100032D0,BrChkFileSize,gamedata,description,src/core/gamedata/br_chkfile.c
0x10003320,BrChkFReadOpen,gamedata,description,src/core/gamedata/br_chkfile.c
0x100034C0,BrChkFRead,gamedata,neighbour-1,src/core/generated/0x100034C0.c
0x100035E0,BrChkFClose,startup,neighbour-1,src/core/generated/0x100035E0.c
0x10003680,BrChkFileExists,startup,neighbour-1,src/core/ghidra_batch.c
0x100036F0,BrChkAlloc,startup,neighbour-1,src/core/generated/0x100036F0.c
