va,size,name
0x00401000,45,HandleCommand
0x00401030,124,WndProc
0x004010B0,54,InitCOM
0x004010F0,6,CoUninitialize_thunk
0x00401100,137,RegisterWindowClass
0x00401190,155,CreatePlayerWindow
0x00401230,261,DoMainLoop
0x00401340,199,WinMain
0x00401410,24,CanRun
0x00401430,24,IsPlayingOrPaused
0x00401450,15,IsStopped
0x00401460,14,HasGraph
0x00401470,10,SetMediaState
0x00401480,36,InitMedia
0x004014B0,129,CreateGraph
0x00401540,75,SetVideoDrain
0x00401590,163,SetFullScreen
0x00401640,46,DeleteContents
0x00401670,133,OpenMediaFile
0x00401700,161,SetPlayerTitle
0x004017B0,104,OpenClip
0x00401820,74,OnMediaPlay
0x00401870,126,OnMediaStop
0x004018F0,149,OnMediaPauseStop
0x00401990,6,GetGraphEvent
0x004019A0,139,OnGraphNotify
0x00401A30,21,SpawnWait
0x00401A50,254,strncpy
0x00401B50,23,_fpmath
0x00401B70,1,CRT_empty
0x00401B80,56,_initp_misc_cfltcvt
0x00401BC0,247,WinMainCRTStartup
0x00401CB7,54,WinMainCRTStartup_cmdtail
0x00401CED,29,WinMainCRTStartup_WinMain
0x00401D0A,21,WinMainCRTStartup_filter
0x00401D1F,12,WinMainCRTStartup_exit
0x00401D2B,27,WinMainCRTStartup_epilogue
0x00401D46,15,WinMainCRTStartup_skipspace
0x00401D60,42,_amsg_exit
0x00401D90,491,_spawnve
0x00401F80,100,CRT_sub_00401F80
0x00401FF0,19,_setdefaultprecision
0x00402010,80,CRT_sub_00402010
0x00402060,41,_get_proc_isprocessorfeaturepresent
0x00402090,93,CRT_sub_00402090
0x004020F0,107,CRT_sub_004020F0
0x00402160,28,CRT_sub_00402160
0x00402180,82,CRT_sub_00402180
0x004021E0,316,CRT_sub_004021E0
0x00402320,249,CRT_sub_00402320
0x00402420,174,CRT_sub_00402420
0x004024D0,43,CRT_sub_004024D0
0x00402500,38,CRT_sub_00402500
0x00402530,101,CRT_sub_00402530
0x004025A0,41,CRT_sub_004025A0
0x004025D0,48,CRT_sub_004025D0
0x00402600,18,CRT_sub_00402600
0x00402620,18,CRT_sub_00402620
0x00402640,164,_exit
0x004026F0,32,CRT_sub_004026F0
0x00402710,318,_XcptFilter
0x00402850,69,CRT_sub_00402850
0x004028A0,18,CRT_sub_004028A0
0x004028C0,58,CRT_sub_004028C0
0x00402900,238,CRT_sub_00402900
0x004029F0,158,CRT_sub_004029F0
0x00402A90,527,CRT_sub_00402A90
0x00402CA0,342,_setenvp
0x00402E00,490,_setmbcp
0x00402FF0,77,_getmbcp
