va,size,name
0x10001000,296,
0x10001130,9,
0x10001140,23,
0x10001160,27,
0x10001180,8,
0x10001190,82,
0x100011F0,977,
0x100015D0,399,
0x10001760,302,
0x10001890,210,
0x10001970,85,
0x100019D0,1567,
0x10001FF0,201,
0x100020C0,7,
0x100020D0,105,
0x10002140,252,
0x10002240,7,
0x10002250,7,
0x10002260,471,
0x10002440,56,
0x10002480,144,
0x10002510,60,
0x10002550,109,
0x100025C0,37,
0x100025F0,110,
0x10002660,352,
0x100027C0,37,
0x100027F0,122,
0x10002870,88,
0x100028D0,62,
0x10002910,19,
0x10002930,61,
0x10002970,61,
0x100029B0,64,
0x100029F0,37,
0x10002A20,90,
0x10002A80,86,
0x10002AE0,94,
0x10002B40,48,
0x10002B70,86,
0x10002BD0,86,
0x10002C30,180,
0x10002CF0,233,
0x10002DE0,170,
0x10002E90,94,
0x10002EF0,66,
0x10002F40,66,
0x10002F90,68,
0x10002FE0,255,
0x100030E0,137,
0x10003170,105,
0x100031E0,163,
0x10003290,144,
0x10003320,101,
0x10003390,94,
0x100033F0,108,
0x10003460,56,
0x100034A0,136,
0x10003530,77,
0x10003580,3792,
0x10004450,312,
0x10004590,309,
0x100046D0,136,
0x10004760,363,
0x100048D0,59,
0x10004910,167,
0x100049C0,65,
0x10004A10,60,
0x10004A50,60,
0x10004A90,287,
0x10004BB0,43,
0x10004BE0,52,
0x10004C20,52,
0x10004C60,360,
0x10004DD0,122,
0x10004E50,368,
0x10004FC0,194,
0x10005090,153,
0x10005130,691,
0x100053F0,118,
0x10005470,33,
0x100054A0,1070,
0x100058D0,47,
0x10005900,47,
0x10005930,47,
0x10005960,430,
0x10005B10,205,
0x10005BE0,264,
0x10005CF0,60,
0x10005D30,6,
0x10005D40,74,
0x10005D90,74,
0x10005DE0,96,
0x10005E40,43,
0x10005E70,97,
0x10005EE0,93,
0x10005F40,78,
0x10005F90,66,
0x10005FE0,168,
0x10006090,38,
0x100060C0,38,
0x100060F0,100,
0x10006160,51,
0x100061A0,1018,
0x100065A0,56,
0x100065E0,60,
0x10006620,54,
0x10006660,58,
0x100066A0,62,
0x100066E0,77,
0x10006730,60,
0x10006770,60,
0x100067B0,60,
0x100067F0,56,
0x10006830,925,
0x10006BD0,738,
0x10006EC0,901,
0x10007250,48,
0x10007280,20,
0x100072A0,24,
0x100072C0,30,
0x100072E0,44,
0x10007310,33,
0x10007340,51,
0x10007380,20,
0x100073A0,20,
0x100073C0,20,
0x100073E0,845,
0x10007730,680,
0x100079E0,291,
