va,size,name
0x00401000,67,FreeObjList
0x00401050,255,CHK_FReadOpen
0x00401150,217,CHK_FGets
0x00401230,215,CHK_FWriteOpen
0x00401310,89,CHK_FPutS
0x00401370,144,CHK_FClose
0x00401400,101,CHK_FileExists
0x00401470,94,CHK_AllocateMemory
0x004014D0,136,SetSubstituteDir
0x00401560,71,FindFirstSection
0x004015B0,70,FindNextSection
0x00401600,14,CHK_FreeMemory
0x00401610,58,CountSections
0x00401650,34,GetObj
0x00401680,31,BindSection
0x004016A0,46,NextObj
0x004016D0,78,ReadINI
0x00401720,27,FreeINI
0x00401740,458,ReadList
0x00401910,11,ResetIncludeStack
0x00401920,416,ReadListLine
0x00401AC0,14,IncludeStackEmpty
0x00401AD0,23,PushInclude
0x00401AF0,19,PopInclude
0x00401B10,6,GetCommentChar
0x00401B20,10,SetCommentChar
0x00401B30,212,GetInstallDir
0x00401C10,91,DlgProcOKCancel
0x00401C70,332,DlgProc
0x00401DC0,251,DlgProcRadio
0x00401EC0,59,ComboGetItemData
0x00401F00,298,FillComboA
0x00402030,298,FillComboB
0x00402160,248,DlgProcComboA
0x00402260,248,DlgProcComboB
0x00402360,74,FollowUse
0x004023B0,205,GetIniValue
0x00402480,930,WinMain
0x00402822,22,
0x00402838,24,
0x00402850,24,
0x00402868,115,
0x004028DB,116,
0x0040294F,369,WriteDefaultINI
0x00402AC0,238,WriteVideoINI
0x00402BAE,23,
0x00402BC5,9,
0x00402BCE,240,WriteVideoINI2
0x00402CC0,32,
0x00402CE0,64,
0x00402D20,74,free
0x00402D70,48,
0x00402DA0,18,exit
0x00402DC0,18,
0x00402DE0,164,
0x00402E90,32,
0x00402EB0,119,fclose
0x00402F30,55,fputs_fp
0x00402F70,35,
0x00402FA0,21,fopen
0x00402FC0,104,sprintf
0x00403030,236,_filbuf
0x00403120,23,
0x00403140,1,CRT_empty
0x00403150,56,
0x00403190,131,ungetc
0x00403220,75,fputs
0x00403270,326,
0x004033C0,20,malloc
0x004033E0,68,
0x00403430,56,
0x00403470,39,
0x004034A0,61,printf
0x004034E0,47,_chkstk
0x00403510,5,
0x00403515,11,
0x00403520,6,strchr
0x00403526,48,
0x00403556,134,
0x004035E0,56,strncmp
0x00403620,114,fgets
0x004036A0,254,atoi
0x004037A0,153,
0x00403840,14,free_wrap
0x00403850,128,strstr
0x004038D0,247,WinMainCRTStartup
0x004039C7,54,WinMainCRTStartup_cmdtail
0x004039FD,29,WinMainCRTStartup_WinMain
0x00403A1A,21,WinMainCRTStartup_filter
0x00403A2F,12,WinMainCRTStartup_exit
0x00403A3B,27,WinMainCRTStartup_epilogue
0x00403A56,15,WinMainCRTStartup_skipspace
0x00403A70,42,
0x00403AA0,55,
0x00403AE0,354,
0x00403C50,91,
0x00403CB0,205,
0x00403D80,89,
0x00403DE0,83,
0x00403E40,563,
0x00404080,370,
0x00404200,189,
0x004042C0,68,
0x00404310,110,
0x00404380,11,
0x00404390,114,
0x00404410,504,
0x00404610,210,
0x004046F0,51,
0x00404730,159,
0x004047D0,84,
0x00404830,53,
0x00404865,8,
0x0040486D,40,
0x00404895,31,
0x004048B4,37,
0x004048D9,30,
0x004048F7,15,
0x00404906,15,
0x00404915,15,
0x00404924,15,
0x00404933,15,
0x00404942,74,
0x0040498C,9,
0x00404995,69,
0x004049DA,30,
0x004049F8,15,
0x00404A07,132,
0x00404A8B,15,
0x00404A9A,16,
0x00404AAA,30,
0x00404AC8,123,
0x00404B43,105,
0x00404BAC,170,
0x00404C56,65,
0x00404C97,227,
0x00404D7A,20,
0x00404D8E,10,
0x00404D98,18,
0x00404DAA,8,
0x00404DB2,42,
0x00404DDC,27,
0x00404DF7,125,
0x00404E74,39,
0x00404E9B,30,
0x00404EB9,25,
0x00404ED2,126,
0x00404F50,55,
0x00404F87,58,
0x00404FC1,140,
0x0040504D,29,
0x0040506A,44,
0x00405096,22,
0x004050AC,276,
0x004051C0,47,
0x004051EF,19,
0x00405210,57,
0x00405250,61,
0x00405290,17,
0x004052B0,18,
0x004052D0,18,
0x004052F0,119,
0x00405367,19,
0x0040537A,10,
0x00405384,10,
0x0040538E,17,
0x0040539F,17,
0x004053B0,13,
0x004053BD,13,
0x004053CA,10,
0x004053D4,10,
0x004053DE,109,
0x0040544C,116,
0x004054C0,100,
0x00405524,32,
0x00405550,301,
0x00405680,596,
0x004058E0,93,
0x00405940,19,_setdefaultprecision
0x00405960,80,
0x004059B0,41,
0x004059E0,93,
0x00405A40,107,
0x00405AB0,28,
0x00405AD0,82,
0x00405B30,316,
0x00405C70,249,
0x00405D70,174,
0x00405E20,43,
0x00405E50,38,
0x00405E80,101,
0x00405EF0,41,
0x00405F20,542,
0x00406140,32,
0x00406160,185,
0x00406220,20,
0x00406240,147,
0x004062E0,52,
