addr,symbol,section,width,array,elem_size,users,reads,writes
0x1008F000,g_08F000,.rdata,4,0,0,5,13,0
0x1008F004,g_08F004,.rdata,4,0,0,2,2,0
0x1008F008,g_08F008,.rdata,4,0,0,1,4,0
0x1008F014,g_08F014,.rdata,4,0,0,1,1,0
0x1008F018,g_08F018,.rdata,4,0,0,1,2,0
0x1008F01C,g_08F01C,.rdata,4,0,0,1,1,0
0x1008F020,g_08F020,.rdata,4,0,0,1,1,0
0x1008F024,g_08F024,.rdata,4,0,0,1,1,0
0x1008F028,g_08F028,.rdata,4,0,0,1,1,0
0x1008F02C,g_08F02C,.rdata,4,0,0,1,1,0
0x1008F030,g_08F030,.rdata,4,0,0,1,1,0
0x1008F034,g_08F034,.rdata,4,0,0,1,1,0
0x1008F038,g_08F038,.rdata,4,0,0,1,1,0
0x1008F03C,g_08F03C,.rdata,4,0,0,2,2,0
0x1008F040,g_08F040,.rdata,4,0,0,1,1,0
0x1008F044,g_08F044,.rdata,4,0,0,1,2,0
0x1008F048,g_08F048,.rdata,4,0,0,1,3,0
0x1008F04C,g_08F04C,.rdata,4,0,0,1,2,0
0x1008F050,g_08F050,.rdata,4,0,0,1,2,0
0x1008F054,g_08F054,.rdata,4,0,0,1,1,0
0x1008F058,g_08F058,.rdata,4,0,0,1,1,0
0x1008F05C,g_08F05C,.rdata,4,0,0,1,1,0
0x1008F060,g_08F060,.rdata,4,0,0,1,1,0
0x1008F064,g_08F064,.rdata,4,0,0,1,1,0
0x1008F068,g_08F068,.rdata,4,0,0,1,2,0
0x1008F06C,g_08F06C,.rdata,4,0,0,1,1,0
0x1008F070,g_08F070,.rdata,4,0,0,1,1,0
0x1008F074,g_08F074,.rdata,4,0,0,1,1,0
0x1008F078,g_08F078,.rdata,4,0,0,1,1,0
0x1008F07C,g_08F07C,.rdata,4,0,0,1,1,0
0x1008F084,g_08F084,.rdata,4,0,0,1,1,0
0x1008F088,g_08F088,.rdata,4,0,0,1,1,0
0x1008F08C,g_08F08C,.rdata,4,0,0,1,1,0
0x1008F090,g_08F090,.rdata,4,0,0,1,1,0
0x1008F094,g_08F094,.rdata,4,0,0,1,3,0
0x1008F098,g_08F098,.rdata,4,0,0,1,1,0
0x1008F09C,g_08F09C,.rdata,4,0,0,1,2,0
0x1008F0A0,g_08F0A0,.rdata,4,0,0,1,2,0
0x1008F0A4,g_08F0A4,.rdata,4,0,0,1,2,0
0x1008F0A8,g_08F0A8,.rdata,4,0,0,1,1,0
0x1008F0AC,g_08F0AC,.rdata,4,0,0,1,2,0
0x1008F0B0,g_08F0B0,.rdata,4,0,0,2,2,0
0x1008F0B4,g_08F0B4,.rdata,4,0,0,1,1,0
0x1008F0B8,g_08F0B8,.rdata,4,0,0,1,1,0
0x1008F0BC,g_08F0BC,.rdata,4,0,0,1,1,0
0x1008F0C0,g_08F0C0,.rdata,4,0,0,1,1,0
0x1008F0C8,g_08F0C8,.rdata,4,0,0,8,56,0
0x1008F0CC,g_08F0CC,.rdata,4,0,0,5,16,0
0x1008F0D0,g_08F0D0,.rdata,4,0,0,10,11,0
0x1008F0D4,g_08F0D4,.rdata,4,0,0,1,1,0
0x1008F0D8,g_08F0D8,.rdata,4,0,0,1,1,0
0x1008F0DC,g_08F0DC,.rdata,4,0,0,2,2,0
0x1008F0E0,g_08F0E0,.rdata,4,0,0,1,1,0
0x1008F0E4,g_08F0E4,.rdata,4,0,0,1,1,0
0x1008F0E8,g_08F0E8,.rdata,4,0,0,1,1,0
0x1008F0EC,g_08F0EC,.rdata,4,0,0,1,1,0
0x1008F0F0,g_08F0F0,.rdata,8,0,0,1,2,0
0x1008F0F8,g_08F0F8,.rdata,8,0,0,1,2,0
0x1008F100,g_08F100,.rdata,4,0,0,1,1,0
0x1008F104,g_08F104,.rdata,4,0,0,1,1,0
0x1008F108,g_08F108,.rdata,4,0,0,1,1,0
0x1008F10C,g_08F10C,.rdata,4,0,0,1,1,0
0x1008F110,g_08F110,.rdata,4,0,0,2,2,0
0x1008F114,g_08F114,.rdata,4,0,0,2,4,0
0x1008F118,g_08F118,.rdata,4,0,0,3,6,0
0x1008F11C,g_08F11C,.rdata,4,0,0,1,2,0
