symbol,addr,refs,corroborated,class,sources
g_aBrKeyEnts,0x106EEF0C,1,1,"transcription header: BrKeyEnt table (src/core/slice1_06.c)",0x10030FD0
g_brKeyCount,0x10AC0808,1,1,"transcription header: key-table count (src/core/slice1_06.c)",0x10030FD0
g_brKeyBias,0x10AC080C,1,1,"transcription header: key bias (src/core/slice1_06.c)",0x10030FD0
g_brSnapCur,0x104AB4EC,1,1,"transcription header: newest complete snap slot (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brSnapPrev,0x104AB500,1,1,"transcription header: previous snap slot (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brSnapTo,0x10396F44,1,1,"transcription header: blend target snap slot (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brSnapFrom,0x104AB4FC,1,1,"transcription header: blend source snap slot (src/core/drawing/br_snapinterp.c)",0x100131E0
g_aBrSnap,0x10396F48,1,1,"transcription header: snap slot array (src/core/drawing/br_snapinterp.c)",0x100131E0
g_aBrSnapLocked,0x10396F10,1,1,"transcription header (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brSnapOrigin,0x10396F24,1,1,"transcription header (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brSnapT0,0x104AB4F4,1,1,"transcription header (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brSnapFrames,0x104AB4F0,1,1,"transcription header (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brCfgInterpolate,0x100A5EAC,1,1,"transcription header (src/core/drawing/br_snapinterp.c)",0x100131E0
BrFrameDrawView,0x10011FA0,1,1,"transcription header: the frame driver (src/core/drawing/br_snapinterp.c)",0x100131E0
g_brCrPlane,0x117787F0,1,1,"transcription header: shared contact-normal bank (0x117787F0/F4/F8), src/core/driving/br_collrespsolve.c",0x10065C80
?Sub10062C50@BrCar@@QAEXXZ,0x1005BCC0,1,1,"cpp-lane member callee: BrSub10062C50 (src/core/racing/BrLapSaveRestore_1005F6C0.cpp)",0x1005F6C0
?InitTables@BrCar@@QAEXXZ,0x1005E6A0,1,1,"cpp-lane member callee: BrCarInitTables (src/core/racing/BrLapSaveRestore_1005F6C0.cpp)",0x1005F6C0
?SetPos@BrCar@@QAEXMMM@Z,0x1006F680,1,1,"cpp-lane member callee: BrEntSetPos (src/core/racing/BrLapSaveRestore_1005F6C0.cpp)",0x1005F6C0
?SetVel@BrCar@@QAEXMMM@Z,0x1006FA10,1,1,"cpp-lane member callee: BrEntSetVel (src/core/racing/BrLapSaveRestore_1005F6C0.cpp)",0x1005F6C0
?SetMatrix@BrCar@@QAEXPAX@Z,0x1006F970,1,1,"cpp-lane member callee: BrEntSetMatrix (src/core/racing/BrLapSaveRestore_1005F6C0.cpp)",0x1005F6C0
g_brAC5DB4,0x10AC5DB4,1,1,"transcription header: slot-scroll repeat-timer accumulator, wraps at 60 (src/core/menus/BrSlotScrollStep_100553B0.cpp)",0x100553B0
g_brAC5DB8,0x10AC5DB8,1,1,"transcription header: slot-scroll last-tick timestamp (src/core/menus/BrSlotScrollStep_100553B0.cpp)",0x100553B0
g_brAC5BAC,0x10AC5BAC,1,1,"transcription header: slot-scroll input-consumed flag (src/core/menus/BrSlotScrollStep_100553B0.cpp)",0x100553B0
g_pBrAC5DD8,0x10AC5DD8,1,1,"transcription header: slot-scroll timing/anchor struct pointer (src/core/menus/BrSlotScrollStep_100553B0.cpp)",0x100553B0
g_brAC5DBC,0x10AC5DBC,1,1,"transcription header: slot-scroll horizontal anchor origin (src/core/menus/BrSlotScrollStep_100553B0.cpp)",0x100553B0
g_brAC5DC0,0x10AC5DC0,1,1,"transcription header: slot-scroll vertical anchor origin (src/core/menus/BrSlotScrollStep_100553B0.cpp)",0x100553B0
BrDxNameDInputDll,0x100A9A44,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgLoadDInputFailed,0x100A9A24,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxNameDInputCreate,0x100A9A10,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgProcDInputFailed,0x100A99E8,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
