symbol,addr,refs,corroborated,class,sources
FUN_10001190,0x10001190,2,1,"named global, no address recorded",0x10058300
FUN_100014e0,0x100014E0,1,0,"named global, no address recorded",0x10041DB0
BrSub_100020D0,0x100023F0,1,0,"named global, no address recorded",0x100151F0
FUN_100027e0,0x100027E0,1,0,"named global, no address recorded",0x10002C50
BrExt_100025F0,0x10002910,1,0,"named global, no address recorded",0x100028E0
BrExt_10002660,0x10002980,1,0,"named global, no address recorded",0x100028E0
BrSub100027F0,0x10002B20,1,0,"named global, no address recorded",0x10002AF0
BrSub10002870,0x10002BA0,1,0,"named global, no address recorded",0x10002AF0
FUN_10002c50,0x10002C50,1,0,"named global, no address recorded",0x10002C70
FUN_10002dc0,0x10002DC0,1,0,"named global, no address recorded",0x10002D30
BrNetCarStateSend,0x100054A0,1,0,"named global, no address recorded",0x10059A50
BrExt_10008B80,0x10008D60,2,1,"named global, no address recorded",0x1006A550 0x1006A580
BrOnActivateTail,0x10008D60,1,0,"named global, no address recorded",0x10070370
BrRaceNullStep,0x10008D60,1,0,"named global, no address recorded",0x10062850
BrSub_10019270,0x10016830,1,0,"named global, no address recorded",0x10014C00
BrSub_100192F0,0x100168B0,1,0,"named global, no address recorded",0x10014C00
BrSub_1002B2A0,0x10018310,1,0,"named global, no address recorded",0x10014C00
BrRaceStepFrame,0x10019A70,1,0,"named global, no address recorded",0x10019900
BrVec3dLen,0x1001DC80,1,0,"named global, no address recorded",0x1001DC90
FUN_1001dd80,0x1001DD80,2,1,"named global, no address recorded",0x1001E130
FUN_1001dfb0,0x1001DFB0,1,0,"named global, no address recorded",0x1001E130
FUN_10027fb0,0x10027FB0,1,0,"named global, no address recorded",0x1006C800
BrFogFactorAtPoint,0x1002B3F0,1,0,"named global, no address recorded",0x10009FC0
BrFrameBegin,0x1002B997,2,1,"named global, no address recorded",0x1002BF24 0x1002BF37
FUN_1002db88,0x1002DB88,1,0,"named global, no address recorded",0x10062830
BrSub10035BD1,0x1002F282,1,0,"named global, no address recorded",0x10032680
FUN_1002f282,0x1002F282,1,0,"named global, no address recorded",0x1006A070
FUN_10032500,0x10032500,1,0,"named global, no address recorded",0x100324F0
BrExt_10038EB0,0x10032520,1,0,"named global, no address recorded",0x10032510
BrBootFrontier_10032530,0x10032530,1,0,"named global, no address recorded",0x1001CD70
FUN_10035400,0x10035400,1,0,"named global, no address recorded",0x10009C00
FUN_100356b0,0x100356B0,1,0,"named global, no address recorded",0x10035870
FUN_10036300,0x10036300,1,0,"named global, no address recorded",0x10035870
BrSub1003CE80,0x10036510,1,0,"named global, no address recorded",0x1003D6F0
BrSub1003D0B0,0x10036740,2,1,"named global, no address recorded",0x10009BA0 0x1003D6F0
FUN_10037720,0x10037720,1,0,"named global, no address recorded",0x10037780
BrExt_1003E0E0,0x10037780,3,1,"named global, no address recorded",0x10040640 0x10040660 0x100406A0
$L22544,0x10038A48,1,0,"named global, no address recorded",0x10038980
$L22545,0x10038A5C,1,0,"named global, no address recorded",0x10038980
BrExt_10041AC0,0x1003B020,1,0,"named global, no address recorded",0x10040660
BrExt_10041BD0,0x1003B130,1,0,"named global, no address recorded",0x1003E610
BrExt_10043E70,0x1003D3C0,1,0,"named global, no address recorded",0x1003D560
BrExt_100451E0,0x1003E730,4,1,"named global, no address recorded",0x1003EC10 0x1003EC90 0x1003ECD0 0x1003ED50
BrUiHook81Activate_100451E0,0x1003E730,2,1,"named global, no address recorded",0x1003EC50 0x1003ED10
BrExt_10045BC0,0x1003F060,3,1,"named global, no address recorded",0x1003EC30 0x1003ECB0 0x1003ECF0
BrUiHook81Activate_10045BC0,0x1003F060,1,0,"named global, no address recorded",0x1003ED30
BrExt_10046750,0x1003FBA0,1,0,"named global, no address recorded",0x1003EC10
BrExt_10046790,0x1003FBE0,1,0,"named global, no address recorded",0x1003EC30
BrExt_10046910,0x1003FD60,1,0,"named global, no address recorded",0x1003EC90
BrExt_10046950,0x1003FDA0,1,0,"named global, no address recorded",0x1003ECB0
BrExt_100469F0,0x1003FE40,1,0,"named global, no address recorded",0x1003ECD0
BrExt_10046A30,0x1003FE80,1,0,"named global, no address recorded",0x1003ECF0
BrExt_10046BB0,0x10040000,1,0,"named global, no address recorded",0x1003ED50
BrExt_10046DC0,0x10040210,1,0,"named global, no address recorded",0x1003E610
BrSprFontKindHook_10047360,0x100407B0,3,1,"named global, no address recorded",0x1003D580 0x1003D5C0 0x1003D600
BrBootFrontier_10058AF0,0x10058AF0,1,0,"named global, no address recorded",0x1001CD70
BrSub1007A940,0x10058E20,1,0,"named global, no address recorded",0x10058F90
BrMenuSub1005FFF0,0x10059060,2,1,"named global, no address recorded",0x10037710 0x10039BC0
BrSub100603A0,0x10059410,1,0,"named global, no address recorded",0x100592D0
BrSub100607B0,0x10059820,1,0,"named global, no address recorded",0x10059A50
BrExt_10067880,0x100608F0,2,1,"named global, no address recorded",0x100609B0 0x100609F0
BrExt_10067900,0x10060970,2,1,"named global, no address recorded",0x100609D0 0x10060A10
BrSfxSrcTrigger,0x10060DB0,2,1,"named global, no address recorded",0x10060DF0 0x10060E00
FUN_100627b0,0x100627B0,1,0,"named global, no address recorded",0x10062830
$L325,0x10062818,1,0,"named global, no address recorded",0x100627B0
BrExt_10069A80,0x10062AF0,1,0,"named global, no address recorded",0x10062AE0
BrCollRespBoxClassify,0x10066260,1,0,"named global, no address recorded",0x10066AA0
BrCrExact,0x10066950,1,0,"named global, no address recorded",0x10066AA0
$L446,0x1006959C,1,0,"named global, no address recorded",0x10069530
$L445,0x100695B0,1,0,"named global, no address recorded",0x10069530
FUN_10069a80,0x10069A80,1,0,"named global, no address recorded",0x10069DC0
FUN_1006a330,0x1006A330,1,0,"named global, no address recorded",0x1006A4D0
BrSub10071560,0x1006A4D0,1,0,"named global, no address recorded",0x1006A4C0
BrSub10071630,0x1006A5A0,1,0,"named global, no address recorded",0x1006A4C0
FUN_1006b490,0x1006B490,1,0,"named global, no address recorded",0x1006BB90
BrSndVoiceStop,0x1006B4C0,1,0,"named global, no address recorded",0x1006B4F0
FUN_1006b4c0,0x1006B4C0,1,0,"named global, no address recorded",0x1006BB60
FUN_1006b790,0x1006B790,2,1,"named global, no address recorded",0x1006B730 0x1006BA00
FUN_1006b950,0x1006B950,1,0,"named global, no address recorded",0x1006BA00
FUN_1006b970,0x1006B970,1,0,"named global, no address recorded",0x1006B950
BrSndPlayGroup,0x1006B9E0,1,0,"named global, no address recorded",0x1006BA60
BrExt_10072A90,0x1006BA00,2,1,"named global, no address recorded",0x1006B9E0 0x1006BA80
BrExt_10072AF0,0x1006BA60,2,1,"named global, no address recorded",0x10040900 0x10040990
BrExt_10072B30,0x1006BAA0,1,0,"named global, no address recorded",0x1006BAF0
FUN_1006bf90,0x1006BF90,1,0,"named global, no address recorded",0x1006BF50
FUN_1006c010,0x1006C010,1,0,"named global, no address recorded",0x100612D0
BrBootFrontier_1006C290,0x1006C290,1,0,"named global, no address recorded",0x1001CD70
FUN_1006c750,0x1006C750,1,0,"named global, no address recorded",0x1006E030
FUN_1006c800,0x1006C800,1,0,"named global, no address recorded",0x1006E030
FUN_1006c880,0x1006C880,1,0,"named global, no address recorded",0x1006E030
FUN_1006c8b0,0x1006C8B0,1,0,"named global, no address recorded",0x1006E030
BrExt_10073B40,0x1006CD80,1,0,"named global, no address recorded",0x1006A550
FUN_1006e1d0,0x1006E1D0,5,1,"named global, no address recorded",0x1005F220
BrExt_10075020,0x1006E280,1,0,"named global, no address recorded",0x1006A310
@BrX100751D0@4,0x1006E430,1,0,"named global, no address recorded",0x10019810
BrSfxSrcStart,0x1006E4C0,2,1,"named global, no address recorded",0x1006E530 0x1006E560
FUN_1006e590,0x1006E590,3,1,"named global, no address recorded",0x10011D10 0x1005C440 0x1006E580
FUN_1006f840,0x1006F840,1,0,"named global, no address recorded",0x10062610
grLfbWriteRegion@32,0x10072966,1,0,"named global, no address recorded",0x100014E0
grSstWinClose,0x1007296C,1,0,"named global, no address recorded",0x1001E130
grBufferSwap@4,0x10072972,1,0,"named global, no address recorded",0x1001DD50
grBufferNumPending@0,0x10072978,2,1,"named global, no address recorded",0x1001DD50
ftol,0x10074560,5,1,"named global, no address recorded",0x10006F40 0x10018990
BrExt_1007E8B0,0x100745E0,3,1,"named global, no address recorded",0x10032510 0x10062AE0 0x1006A570
BrXAtExit,0x100745E0,1,0,"named global, no address recorded",0x10019820
BrExt_1007F560@16,0x100746C0,1,0,"named global, no address recorded",0x1006A580
BrExt_1007F680@20,0x10074800,1,0,"named global, no address recorded",0x1006A550
