d3d_addr,glide_addr,votes
0x1008F000,0x10077000,11
0x1008F004,0x10077004,2
0x1008F014,0x10077014,1
0x1008F018,0x10077018,2
0x1008F01C,0x1007701C,1
0x1008F020,0x10077020,1
0x1008F024,0x10077024,1
0x1008F028,0x10077028,1
0x1008F02C,0x1007702C,1
0x1008F030,0x10077030,1
0x1008F034,0x10077034,1
0x1008F038,0x10077038,1
0x1008F03C,0x1007703C,1
0x1008F09C,0x1007709C,2
0x1008F0A0,0x100770A0,2
0x1008F0A4,0x100770A4,2
0x1008F0A8,0x100770A8,1
0x1008F0AC,0x100770AC,2
0x1008F0B0,0x100770B0,2
0x1008F0B4,0x100770B4,1
0x1008F0B8,0x100770B8,1
0x1008F0BC,0x100770BC,1
0x1008F0C0,0x100770C0,1
0x1008F0C8,0x100770C8,43
0x1008F0CC,0x100770CC,15
0x1008F0D0,0x100770D0,2
0x1008F0DC,0x100770DC,1
0x1008F0E4,0x100770E4,1
0x1008F0E8,0x100770E8,1
0x1008F110,0x10077110,2
0x1008F114,0x10077114,4
0x1008F118,0x10077118,6
0x1008F11C,0x1007711C,2
0x1008F124,0x10077124,1
0x1008F128,0x10077128,1
0x1008F12C,0x1007712C,1
0x1008F130,0x10077130,1
0x1008F134,0x10077134,1
0x1008F138,0x10077138,1
0x1008F144,0x10077144,1
0x1008F148,0x10077148,1
0x1008F150,0x10077150,2
0x1008F1F4,0x100771A4,2
0x1008F1F8,0x100771A8,5
0x1008F21C,0x100771CC,5
0x1008F220,0x100771D0,2
0x1008F224,0x100771D4,1
0x1008F228,0x100771D8,2
0x1008F22C,0x100771DC,1
0x1008F230,0x100771E0,1
0x1008F238,0x100771E8,1
0x1008F23C,0x100771EC,1
0x1008F240,0x100771F0,2
0x1008F244,0x100771F4,1
0x1008F248,0x100771F8,7
0x1008F24C,0x100771FC,3
0x1008F250,0x10077200,1
0x1008F254,0x10077204,1
0x1008F25C,0x1007720C,4
0x1008F2AC,0x1007725C,1
0x1008F2B0,0x10077260,1
0x1008F2B4,0x10077264,2
0x1008F2B8,0x10077268,1
0x1008F2BC,0x1007726C,1
0x1008F2C0,0x10077270,1
0x1008F2C4,0x10077274,1
0x1008F2CC,0x1007727C,3
0x1008F2D0,0x10077280,6
0x1008F2D4,0x10077284,1
0x1008F2F4,0x100772A4,1
0x1008F2F8,0x100772A8,1
0x1008F300,0x100772B0,8
0x1008F304,0x100772B4,2
0x1008F308,0x100772B8,1
0x1008F30C,0x100772BC,1
0x1008F314,0x100772C4,1
0x1008F31C,0x100772CC,1
0x1008F320,0x100772D0,1
0x1008F324,0x100772D4,1
0x1008F328,0x100772D8,1
0x1008F32C,0x100772DC,1
0x1008F330,0x100772E0,1
0x1008F338,0x100772E8,1
0x1008F33C,0x100772EC,2
0x1008F34C,0x100772FC,1
0x1008F350,0x10077300,4
0x1008F354,0x10077304,5
0x1008F358,0x10077308,2
0x1008F35C,0x1007730C,1
0x1008F360,0x10077310,1
0x1008F364,0x10077314,2
0x1008F368,0x10077318,1
0x1008F36C,0x1007731C,1
0x1008F370,0x10077320,1
0x1008F378,0x10077328,2
0x1008F37C,0x1007732C,1
0x1008F384,0x10077334,2
0x1008F388,0x10077338,5
0x1008F3C8,0x10077410,21
0x1008F410,0x10077370,10
0x1008F414,0x10077374,1
0x1008F418,0x10077378,1
0x1008F41C,0x1007737C,1
0x1008F420,0x10077380,3
0x1008F428,0x10077388,1
0x1008F430,0x10077390,1
0x1008F438,0x10077398,2
0x1008F440,0x100773A0,3
0x1008F448,0x100773A8,1
0x1008F478,0x100773D8,1
0x1008F4A8,0x10077470,1
0x1008F4B0,0x10077478,2
0x1008F4B8,0x10077480,2
0x1008F4D0,0x10077498,3
0x1008F4E0,0x100774A8,1
0x1008F4E8,0x100774B0,2
0x1008F4EC,0x100774B4,12
0x1008F4F0,0x100774B8,1
0x1008F4F4,0x100774BC,1
0x1008F4F8,0x100774C0,2
0x1008F4FC,0x100774C4,2
0x1008F500,0x100774C8,1
0x1008F504,0x100774CC,1
0x1008F508,0x100774D0,3
0x1008F50C,0x100774D4,3
0x1008F510,0x100774D8,1
0x1008F514,0x100774DC,6
0x1008F518,0x100774E0,1
0x1008F51C,0x100774E4,1
0x1008F520,0x100774E8,1
0x1008F524,0x100774EC,1
0x1008F528,0x100774F0,1
0x1008F52C,0x100774F4,1
0x1008F530,0x100774F8,3
0x1008F534,0x100774FC,1
0x1008F538,0x10077500,3
0x1008F53C,0x10077504,2
0x1008F540,0x10077508,2
0x1008F544,0x1007750C,2
0x1008F548,0x10077510,3
0x1008F54C,0x10077514,3
0x1008F550,0x10077518,3
0x1008F554,0x1007751C,1
0x1008F564,0x1007752C,1
0x1008F568,0x10077530,1
0x1008F56C,0x10077534,2
0x1008F570,0x10077538,1
0x1008F574,0x1007753C,1
0x1008F578,0x10077540,1
0x1008F57C,0x10077544,3
0x1008F580,0x10077548,1
0x1008F584,0x1007754C,1
0x1008F588,0x10077550,6
0x1008F58C,0x10077554,1
0x1008F590,0x10077558,2
0x1008F594,0x1007755C,2
0x1008F598,0x10077560,2
0x1008F59C,0x10077564,4
0x1008F5A0,0x10077568,1
0x1008F5A4,0x1007756C,2
0x1008F5A8,0x10077570,1
0x1008F5AC,0x10077574,2
0x1008F5B0,0x10077578,1
0x1008F5BC,0x10077584,2
0x1008F5C4,0x1007758C,2
0x1008F5CC,0x10077594,2
0x1008F5D0,0x10077598,6
0x1008F5E0,0x100775A8,1
0x1008F5E8,0x100775B0,1
0x1008F5EC,0x100775B4,1
0x1008F5F0,0x100775B8,1
0x1008F5F4,0x100775BC,1
0x1008F5F8,0x100775C0,1
0x1008F5FC,0x100775C4,2
0x1008F600,0x100775C8,2
0x1008F604,0x100775CC,1
0x1008F608,0x100775D0,2
0x1008F60C,0x100775D4,1
0x1008F610,0x100775D8,1
0x1008F614,0x100775DC,1
0x1008F618,0x100775E0,1
0x1008F61C,0x100775E4,2
0x1008F628,0x100775F0,4
0x1008F62C,0x100775F4,20
0x1008F638,0x10077600,1
0x1008F644,0x1007760C,1
0x1008F648,0x10077610,1
0x1008F654,0x1007761C,2
0x1008F658,0x10077620,1
0x1008F660,0x10077628,2
0x1008F664,0x1007762C,1
0x1008F678,0x10077640,2
0x1008F67C,0x10077644,1
0x1008F680,0x10077648,14
0x1008F684,0x1007764C,9
0x1008F688,0x10077650,9
0x1008F68C,0x10077654,4
0x1008F690,0x10077658,14
0x1008F694,0x1007765C,22
0x1008F698,0x10077660,3
0x1008F69C,0x10077664,8
0x1008F6A0,0x10077668,1
0x1008F6A8,0x10077670,1
0x1008F6AC,0x10077674,3
0x1008F6B0,0x10077678,2
0x1008F6B4,0x1007767C,1
0x1008F6B8,0x10077680,2
0x1008F6F8,0x100776C0,1
0x1008F700,0x100776C8,1
0x1008F728,0x100776F0,1
0x1008F758,0x10077720,2
0x1008F788,0x10077750,1
0x1008F7A4,0x1007776C,1
0x1008F7A8,0x10077770,5
0x1008F7AC,0x10077774,1
0x1008F7B0,0x10077778,1
0x1008F7B8,0x10077780,12
0x1008F7BC,0x10077784,4
0x1008F7C0,0x10077788,4
0x1008F7C4,0x1007778C,4
0x1008F7C8,0x10077790,2
0x1008F7CC,0x10077794,4
0x1008F89C,0x10077864,1
0x1008F8C4,0x1007788C,1
0x1008F8C8,0x10077890,1
0x1008F8D0,0x10077898,7
0x1008F8D4,0x1007789C,2
0x1008F8D8,0x100778A0,1
0x1008F8DC,0x100778A4,5
0x1008F8E0,0x100778A8,2
0x1008F8E4,0x100778AC,8
0x1008F8EC,0x100778B4,1
0x1008F8F0,0x100778B8,2
0x1008F8F4,0x100778BC,2
0x1008F8F8,0x100778C0,3
0x1008F8FC,0x100778C4,1
0x1008F900,0x100778C8,1
0x1008F904,0x100778CC,5
0x1008F908,0x100778D0,1
0x1008F90C,0x100778D4,1
0x1008F910,0x100778D8,23
0x1008F914,0x100778DC,8
0x1008F918,0x100778E0,6
0x1008F91C,0x100778E4,10
0x1008F920,0x100778E8,1
0x1008F928,0x100778F0,1
0x1008F92C,0x100778F4,4
0x1008F930,0x100778F8,20
0x1008F934,0x100778FC,1
0x1008F938,0x10077900,2
0x1008F93C,0x10077904,3
0x1008F940,0x10077908,2
0x1008F944,0x1007790C,4
0x1008F948,0x10077910,1
0x1008F950,0x10077918,3
0x1008F954,0x1007791C,2
0x1008F958,0x10077920,1
0x1008F960,0x10077928,1
0x1008F968,0x10077930,1
0x1008F970,0x10077938,1
0x1008F978,0x10077940,1
0x1008F97C,0x10077944,1
0x1008F980,0x10077948,1
0x1008F984,0x1007794C,1
0x1008F98C,0x10077954,1
0x1008F990,0x10077958,1
0x1008F99C,0x10077964,2
0x1008F9A0,0x10077968,4
0x1008F9A4,0x1007796C,1
0x1008F9A8,0x10077970,1
0x1008F9AC,0x10077974,1
0x1008F9B0,0x10077978,3
0x1008F9B4,0x1007797C,1
0x1008F9B8,0x10077980,2
0x1008F9BC,0x10077984,2
0x1008F9C0,0x10077988,1
0x1008F9EC,0x100779B4,1
0x1008F9F0,0x100779B8,1
0x1008F9F4,0x100779BC,1
0x1008F9F8,0x100779C0,2
0x1008F9FC,0x100779C4,2
0x1008FA00,0x100779C8,2
0x1008FA04,0x100779CC,2
0x1008FA08,0x100779D0,1
0x1008FA10,0x100779D8,1
0x1008FA14,0x100779DC,1
