va,size,pattern,detail
0x10001000,296,branching,124 insns
0x100011F0,977,x87-math,309 insns
0x100015D0,399,x87-math,139 insns
0x10001760,302,x87-math,91 insns
0x10001890,210,x87-math,73 insns
0x10001970,85,calls-out,28 insns
0x100019D0,1567,x87-math,403 insns
0x10001FF0,201,branching,54 insns
0x100020D0,105,x87-math,39 insns
0x10002140,252,branching,65 insns
0x10002260,471,branching,95 insns
0x10002440,56,branching,16 insns
0x10002510,60,branching,21 insns
0x10002550,109,branching,38 insns
0x100025C0,37,branching,12 insns
0x100025F0,110,branching,32 insns
0x10002660,352,branching,99 insns
0x100027C0,37,branching,12 insns
0x100027F0,122,branching,33 insns
0x10002870,88,branching,24 insns
0x10002910,19,no-ret,
0x10002930,61,branching,19 insns
0x10002970,61,branching,19 insns
0x100029B0,64,branching,19 insns
0x100029F0,37,branching,12 insns
0x10002A20,90,branching,29 insns
0x10002A80,86,branching,28 insns
0x10002AE0,94,branching,32 insns
0x10002B40,48,branching,16 insns
0x10002B70,86,branching,36 insns
0x10002BD0,86,branching,36 insns
0x10002C30,180,branching,78 insns
0x10002CF0,233,branching,101 insns
0x10002DE0,170,x87-math,52 insns
0x10002E90,94,branching,36 insns
0x10002EF0,66,branching,21 insns
0x10002F40,66,branching,21 insns
0x100030E0,137,branching,48 insns
0x10003170,105,branching,35 insns
0x10003320,101,branching,31 insns
0x10003390,94,branching,30 insns
0x100033F0,108,branching,37 insns
0x10003460,56,calls-out,20 insns
0x100034A0,136,branching,44 insns
0x10003530,77,calls-out,27 insns
0x10004590,309,branching,82 insns
0x100046D0,136,branching,57 insns
0x100048D0,59,calls-out,18 insns
0x10004910,167,calls-out,40 insns
0x100049C0,65,other,15 insns
0x10004A10,60,calls-out,20 insns
0x10004A50,60,calls-out,18 insns
0x10004A90,287,branching,91 insns
0x10004BB0,43,calls-out,10 insns
0x10004BE0,52,branching,13 insns
0x10004C20,52,branching,13 insns
0x10004C60,360,branching,95 insns
0x10004DD0,122,branching,51 insns
0x10004E50,368,branching,97 insns
0x10004FC0,194,branching,60 insns
0x10005090,153,branching,47 insns
0x10005130,691,x87-math,174 insns
0x100053F0,118,branching,36 insns
0x10005470,33,branching,12 insns
0x100054A0,1070,x87-math,328 insns
0x100058D0,47,x87-math,14 insns
0x10005900,47,x87-math,14 insns
0x10005930,47,x87-math,14 insns
0x10005960,430,branching,128 insns
0x10005B10,205,branching,70 insns
0x10005BE0,264,branching,93 insns
0x10005CF0,60,calls-out,20 insns
0x10005D40,74,branching,24 insns
0x10005D90,74,branching,24 insns
0x10005DE0,96,calls-out,29 insns
0x10005E40,43,calls-out,13 insns
0x10005E70,97,calls-out,35 insns
0x10005EE0,93,calls-out,35 insns
0x10005F40,78,calls-out,28 insns
0x10005F90,66,branching,23 insns
0x10005FE0,168,branching,55 insns
0x10006090,38,calls-out,9 insns
0x100060C0,38,calls-out,9 insns
0x100060F0,100,branching,22 insns
0x10006160,51,branching,12 insns
0x100061A0,1018,x87-math,350 insns
0x100065A0,56,x87-math,15 insns
0x100065E0,60,x87-math,15 insns
0x10006620,54,x87-math,15 insns
0x10006660,58,x87-math,16 insns
0x100066A0,62,x87-math,22 insns
0x100066E0,77,no-ret,
0x10006730,60,x87-math,15 insns
0x10006770,60,x87-math,15 insns
0x100067B0,60,x87-math,15 insns
0x100067F0,56,x87-math,15 insns
0x10006830,925,x87-math,302 insns
0x10006BD0,738,x87-math,236 insns
0x10006EC0,901,x87-math,286 insns
0x10007250,48,x87-math,15 insns
0x10007280,20,x87-math,5 insns
0x100072A0,24,x87-math,6 insns
0x100072C0,30,x87-math,7 insns
0x100072E0,44,x87-math,15 insns
0x10007310,33,x87-math,8 insns
