address,build,symbol,file,line
0x100011C0,glide,BrSurfBlt24,br_surf.c,83
0x10001240,glide,BrSurfFromBitmap,br_surf.c,125
0x10001290,glide,BrBmpLoadSurface,br_bmp.c,142
0x10001320,glide,BrUiSprClip,br_uispr.c,404
0x100014A0,glide,BrSurfSetColourKey,br_surf.c,156
0x10002240,d3d,BrSinF,slice4_53.c,41
0x10002250,d3d,BrSqrtF,slice4_53.c,59
0x10002490,d3d,BrCdTrackGetEar,slice6_78.c,287
0x100027C0,d3d,BrCdTrackPlay,slice5_63.c,170
0x10002A20,d3d,BrCdVolumeScale,slice1_01.c,72
0x10002DE0,d3d,BrGrid64Sample,slice1_01.c,103
0x10002EF0,d3d,BrU16CursorNext,slice1_01.c,155
0x10002F90,d3d,BrChkFileSize,slice6_78.c,231
0x10002FE0,d3d,BrChkFReadOpen,slice6_78.c,167
0x100030E0,d3d,BrFChkFRead,slice1_01.c,220
0x10003170,d3d,BrChkFRead,slice1_01.c,252
0x10003290,d3d,BrChkFClose,slice6_78.c,250
0x10003390,d3d,BrChkAlloc,slice1_01.c,288
0x100033F0,d3d,BrChkRealloc,slice1_01.c,314
0x10003460,d3d,BrTicks30FromMs,slice1_01.c,189
0x100049C0,d3d,BrPalFetch,slice1_02.c,677
0x10004A10,d3d,BrNetSlotGetF02C,slice1_02.c,559
0x10004A50,d3d,BrNetSlotSetF02C,slice1_02.c,573
0x100053F0,d3d,BrNetSendFlush,slice4_50.c,251
0x10005470,d3d,BrEntityCountActive,slice2_12.c,549
0x100058D0,d3d,BrCarClampUnit,slice2_12.c,96
0x10005900,d3d,BrCarClampPosXY,slice2_12.c,109
0x10005930,d3d,BrCarClampPosZ,slice2_12.c,121
0x10005960,d3d,BrNetReset,slice1_02.c,481
0x10005CF0,d3d,BrNetSlotGetF004,slice1_02.c,586
0x10005D40,d3d,BrNetStackPop,slice2_12.c,571
0x10005DE0,d3d,BrNetSlotGetF030,slice2_12.c,606
0x10005E40,d3d,BrNetGetA102212D0,slice2_12.c,591
0x10005E70,d3d,BrNetSlotName,slice1_02.c,603
0x10005EE0,d3d,BrNetSlotSetName,slice2_12.c,631
0x10005F40,d3d,BrNetSlotGetF02CBiased,slice2_12.c,653
0x10005F90,d3d,BrNetSlotGetF974,slice2_12.c,672
0x10005FE0,d3d,BrNetDropMatching,slice1_02.c,631
0x10006090,d3d,BrNetSetF10220DD0,slice2_12.c,690
0x100060C0,d3d,BrNetClearF10220DD0,slice2_12.c,701
0x10006160,d3d,BrNetCheckDeadline,slice2_12.c,714
0x100061A0,d3d,BrCarStateEncode,slice2_12.c,259
0x100065A0,d3d,BrFixPackS6Q7Neg,slice2_12.c,139
0x100065E0,d3d,BrFixPackS16Q15Neg,slice2_12.c,156
0x10006620,d3d,BrFixPackU8Angle,slice2_12.c,172
0x10006660,d3d,BrFixPackU8Range,slice2_12.c,188
0x100066A0,d3d,BrFixPackLevel,slice2_12.c,207
0x100066E0,d3d,BrFixPackU24Q13,slice1_02.c,82
0x10006730,d3d,BrFixPackS24Q1,slice1_02.c,98
0x10006770,d3d,BrFixPackS16Q7,slice1_02.c,113
0x100067B0,d3d,BrFixPackS16Q8,slice2_12.c,222
0x100067F0,d3d,BrFixPackS8Q3,slice2_12.c,237
0x10006830,d3d,BrCarStateEncodeDelta,slice2_12.c,342
0x10006BD0,d3d,BrCarStatePack,slice2_12.c,425
0x10006EC0,d3d,BrCarStateDecode,slice1_02.c,292
0x10007250,d3d,BrFixUnpackS6Q7Neg,slice1_02.c,131
0x10007280,d3d,BrFixUnpackS16Q15Neg,slice1_02.c,144
0x100072A0,d3d,BrFixUnpackU8Angle,slice1_02.c,153
0x100072C0,d3d,BrFixUnpackU8Range,slice1_02.c,166
0x100072E0,d3d,BrFixUnpackLevel,slice1_02.c,179
0x10007310,d3d,BrFixUnpackU32Q13,slice1_02.c,197
0x10007340,d3d,BrFixUnpackS24Q1,slice1_02.c,206
0x10007380,d3d,BrFixUnpackS16Q7,slice1_02.c,215
0x100073A0,d3d,BrFixUnpackS16Q8,slice1_02.c,224
0x100073C0,d3d,BrFixUnpackS8Q3,slice1_02.c,233
0x100073E0,d3d,BrCarStateDecodeDelta,slice1_02.c,366
0x100079E0,d3d,BrCarStateLerp,slice1_02.c,430
0x10007E80,glide,BrAppCheckPreviousApp,br_appstart.c,128
0x10008670,d3d,BrKeyCacheFind,slice2_12.c,891
0x10008970,d3d,BrKeyCacheReset,slice2_12.c,916
0x100089C0,d3d,BrPodWriteOpen,slice2_12.c,949
0x10008A00,d3d,BrPodWriteAdd,slice2_12.c,975
0x10008AA0,d3d,BrPodWriteClose,slice2_12.c,1026
0x10008CF0,d3d,BrLogPrint,slice4_52.c,328
0x1000BEA0,d3d,BrAppMsgDispatch,slice1_03.c,397
0x1000C000,d3d,BrDPlaySysMsgDispatch,slice2_13.c,149
0x1000C350,d3d,BrDPlayPump,slice2_13.c,266
0x1000C440,d3d,BrDPlayThreadProc,slice2_13.c,319
0x1000C4A0,d3d,BrComHolderRelease,slice1_03.c,448
0x1000C4D0,d3d,BrDPlayRawSend,slice2_22.c,26
0x1000C510,d3d,BrDPlayShutdown,slice2_13.c,345
0x1000C5D0,d3d,BrDPlayStartup,slice2_13.c,396
0x1000C670,d3d,BrDPlayGetCurrentPlayers,slice2_13.c,432
0x10010960,d3d,BrPolyDistX,slice4_52.c,64
0x100109A0,d3d,BrPolyClipPlane,slice2_13.c,538
0x10016A60,d3d,BrGfxDrawTexRect,slice2_15.c,134
0x10016B40,d3d,BrHudDrawDial,slice2_15.c,169
0x100171F0,d3d,BrHudDrawTimeEntry,slice1_03.c,354
0x10017290,d3d,BrSub_10017290,slice5_63.c,266
0x100173F0,d3d,BrSub_100173F0,slice6_70.c,353
0x10017690,d3d,BrHudDrawViewCentreText,slice2_15.c,354
0x10017790,d3d,BrHudDrawViewMessage,slice2_15.c,390
0x10017C80,d3d,BrHudFormatGapString,slice2_15.c,472
0x10017CD0,d3d,BrHudGapSeconds,slice2_15.c,433
0x10017D90,d3d,BrHudDraw,slice2_15.c,551
0x10017E30,glide,BrWindowEarStartup,br_window.c,155
0x10017FE0,d3d,BrHudDrawSplitLine,slice2_15.c,492
0x10018070,d3d,BrSceneUsePlainClear,slice2_15.c,619
0x100180B0,d3d,BrSceneSetupFrame,slice2_15.c,637
0x10018590,d3d,BrTextEmitString,br_font.c,601
0x100189E0,glide,br_ai_reloc,br_ai.c,55
0x10018A50,glide,swap_u16_run,br_track.c,59
0x10019240,d3d,BrSub_10019240,slice6_78.c,335
0x10019260,d3d,BrTextFlag358Clear,slice6_78.c,384
0x10019280,d3d,BrSub_10019280,slice5_63.c,216
0x10019290,d3d,BrSub_10019290,slice5_61.c,67
0x100192A0,d3d,BrTextSetColors,slice1_03.c,260
0x100192F0,d3d,BrTextSetSize,slice6_78.c,375
0x10019300,d3d,BrTextDraw,slice1_03.c,280
0x10019350,glide,BrOnActivateApp,br_input.c,181
0x100193C0,d3d,BrSub_100193C0,slice6_76.c,345
0x10019480,glide,BrOnSysCommand,br_input.c,284
0x10019490,d3d,BrWeatherRandomiseParticles,slice2_15.c,733
0x100194C0,glide,BrWndProc,br_input.c,327
0x100194E0,d3d,BrWeatherStepWind,slice2_15.c,760
0x10019620,d3d,BrWeatherStepLightning,slice2_15.c,804
0x10019670,glide,BrWindowDescribe,br_window.c,65
0x100196D0,d3d,BrWeatherStepParticles,slice2_15.c,842
0x10019730,glide,BrMainLoopRun,br_mainloop.c,43
0x10019A70,glide,BrRaceStepInit,br_racestep.c,728
0x1001A4B0,d3d,BrForward1001A4B0,slice2_15.c,1000
0x1001BE90,d3d,Br72FillVert,slice6_72.c,293
0x1001CC00,glide,BrRallyMain,br_boot.c,287
0x1001CD60,d3d,BrGbiSet0A79E8,slice2_16.c,99
0x1001CD70,glide,BrAppStateColdInit,br_boot.c,59
0x1001CD80,d3d,BrGbiSet4C5174,slice2_16.c,110
0x1001CDA0,glide,BrAppStateEnterRun,br_boot.c,81
0x1001CDB0,glide,BrAppStateRun,br_boot.c,104
0x1001CDD0,glide,BrAppStateLoading,br_boot.c,145
0x1001CE20,glide,BrAppStateSetMode,br_boot.c,195
0x1001CF30,d3d,BrGbiSetTileSize,slice2_16.c,127
0x1001CF80,glide,BrAppFrame,br_boot.c,242
0x1001D8A0,glide,BrDxDetect,br_dxver.c,159
0x1001D940,d3d,BrClipLerpVert,slice1_03.c,65
0x1001E320,glide,br_dl_fillF6,br_dl.c,1346
0x1001E720,glide,br_dl_fillE1,br_dl.c,1353
0x1001E770,glide,BrDlCmdSetCombine,br_dlcmd.c,559
0x1001E790,d3d,BrGbiClearGeometryMode,slice2_16.c,148
0x1001E930,glide,br_dl_env,br_dl.c,1578
0x1001E9F0,glide,br_dl_fillcolour,br_dl.c,1501
0x1001EA60,glide,BrDlCmdFogColour,br_dlcmd.c,476
0x1001EA80,glide,br_dl_prim,br_dl.c,1561
0x1001EB50,glide,br_dl_scissorED,br_dl.c,1442
0x1001EBC0,glide,br_dl_scissorE2,br_dl.c,1433
0x1001EC30,glide,br_dl_settilesize,br_dl.c,1454
0x1001ECF0,glide,BrDlCmdTri1,br_dlcmd.c,347
0x1001EE70,glide,br_dl_clip_emit,br_dl.c,1012
0x1001FA30,glide,BrDlCmdTri2,br_dlcmd.c,368
0x1001FD70,glide,BrDlVtxRoutine,br_dl.c,625
0x10020D60,d3d,BrGbiDList,slice2_16.c,176
0x10020DA0,d3d,BrGbiEndDList,slice2_16.c,198
0x10020DC0,d3d,BrGbiMatrix,slice2_16.c,243
0x10020EF0,d3d,BrGbiPopMatrix,slice2_16.c,278
0x10020F20,d3d,BrGbiSetGeometryMode,slice2_16.c,161
0x10020F50,d3d,BrGbiDispatch10020F50,slice2_16.c,307
0x10020F80,d3d,BrGbiSet4C1694,slice2_16.c,295
0x10020FA0,d3d,BrGbiCall10020FA0,slice5_60.c,98
0x10021240,glide,br_dl_skip,br_dl.c,254
0x10021510,d3d,BrGbiTileRect,slice2_16.c,325
0x10021560,d3d,BrGbiCall10021560,slice4_51.c,204
0x10021570,glide,br_dl_texE4,br_dl.c,1360
0x100219D0,glide,br_dl_texE3,br_dl.c,1365
0x10021A20,glide,BrDlCmdVtx,br_dlcmd.c,85
0x10021B80,d3d,BrGbiTileRectS,slice2_16.c,346
0x10021C70,glide,br_dl_light_setup,br_dl.c,482
0x10022070,glide,br_dl_project,br_dl.c,695
0x10022120,glide,br_dl_outcode,br_dl.c,673
0x10022350,d3d,BrGbiLightVertex,slice2_16.c,367
0x10022AC0,glide,br_dl_light_vertex,br_dl.c,569
0x10022DC0,d3d,BrGbiClipCodes,slice2_16.c,404
0x10023B10,glide,br_dl_clip_reset,br_dl.c,983
0x10024150,d3d,BrGbiMoveMem,slice2_16.c,443
0x10024240,d3d,BrGbiMoveMemMatrix,slice2_16.c,424
0x10024260,d3d,BrGbiCall10024260,slice5_61.c,87
0x100242F0,d3d,BrGbiMoveWord,slice2_16.c,493
0x100243D0,d3d,BrGbiCall100243D0,slice5_60.c,65
0x10024A90,d3d,BrGbiRun,slice2_16.c,540
0x100251A0,d3d,BrTexShiftFromSize,slice1_04.c,33
0x100271F0,glide,br_tex3d_texel,br_tex3d.c,408
0x10027850,glide,br_tex3d_shift,br_tex3d.c,462
0x10027A10,glide,br_tex3d_append,br_tex3d.c,79
0x10027B90,d3d,BrTexFormatCode,slice1_04.c,116
0x10027C00,d3d,BrGbiSizeShift,slice2_16.c,944
0x10028720,d3d,BrTexSizeFromShiftAspect,slice1_04.c,79
0x10028B50,glide,br_tex3d_seam,br_tex3d.c,207
0x10028BF0,d3d,BrGbiBlit,slice2_16.c,978
0x10028C70,d3d,BrGbiTexelsPerWord,slice2_16.c,962
0x100290E0,d3d,BrGbiTexScanRun,slice2_16.c,846
0x100293D0,glide,br_tex3d_end,br_tex3d.c,192
0x10029410,d3d,BrGbiTexScanFlush,slice2_16.c,576
0x10029B10,glide,BrTexChooseLevel,br_texinit.c,110
0x10029B50,glide,BrTexInit,br_texinit.c,129
0x10029E60,d3d,BrGbiTexScanMark,slice2_16.c,562
0x10029EB0,d3d,BrGbiTexScanSetImg,slice2_16.c,608
0x10029F10,d3d,BrGbiTexScanLoadTlut,slice2_16.c,630
0x10029F80,d3d,BrGbiTexScanLoadSync,slice2_16.c,656
0x10029FA0,d3d,BrGbiTexScanLoadBlock,slice2_16.c,668
0x1002A000,d3d,BrGbiTexScanPipeSync,slice2_16.c,696
0x1002A020,d3d,BrGbiTexScanTileSync,slice2_16.c,707
0x1002A040,d3d,BrGbiTexScanSetTile,slice2_16.c,719
0x1002A140,d3d,BrGbiTexScanSetTileSize,slice2_16.c,750
0x1002A1A0,d3d,BrGbiTexScanOtherModeL,slice2_16.c,769
0x1002A210,d3d,BrGbiTexScanOtherModeH,slice2_16.c,812
0x1002A250,d3d,BrGbiTexScanOtherModeH0E,slice2_16.c,795
0x1002A280,d3d,BrGbiTexCreate,slice2_16.c,998
0x1002A740,d3d,BrGbiSolidTexBuild,slice2_16.c,1032
0x1002AEA0,d3d,BrFadeRelease,slice2_16.c,1054
0x1002AEC0,d3d,BrFadeLatch,slice2_16.c,1066
0x1002AF10,d3d,BrFadeDrawSprite,slice2_16.c,1091
0x1002B130,d3d,BrFadeSetTarget,slice2_16.c,1158
0x1002B1C0,d3d,BrFadeSetTargetA,slice2_16.c,1185
0x1002B220,d3d,BrFadeSetTargetB,slice2_16.c,1200
0x1002B280,d3d,BrCursorPairSet,slice1_05.c,335
0x1002B2A0,d3d,BrFadeIsClosing,slice2_16.c,1215
0x1002B2D0,d3d,BrFadeIsSettled,slice2_16.c,1227
0x1002B300,d3d,BrFadeIsShut,slice2_16.c,1238
0x1002B340,d3d,BrFadeDrawBars,slice2_16.c,1266
0x1002B670,d3d,BrFadeTick,slice2_16.c,1362
0x1002B920,d3d,BrFtolArg,slice6_74.c,324
0x1002B930,d3d,BrCopy8Words,slice2_16.c,1423
0x1002B9A0,d3d,BrSegSetBases,br_seg.c,37
0x1002B9C0,d3d,BrRcaResetCounts,slice2_16.c,1432
0x1002B9D0,d3d,BrSegSetFlag,slice6_78.c,325
0x1002B9E0,d3d,BrSwapU16Array,slice2_16.c,1444
0x1002BA00,d3d,BrSwapU16x4Array,slice2_16.c,1475
0x1002BA20,d3d,BrSwapU16x4,slice2_16.c,1461
0x1002BA60,d3d,BrSwapVec3Array,slice2_16.c,1492
0x1002BA80,d3d,BrRcaFixupArray,slice2_16.c,1641
0x1002BAA0,d3d,BrRcaFixupRecord,slice2_16.c,1541
0x1002BC90,d3d,BrRcaSwapMesh,slice2_16.c,1512
