d3d_va,glide_va,size,shared_callers,name
0x1007C8A0,0x10074560,39,55,
0x10048710,0x10041B60,310,15,
0x1005F5A0,0x10058380,237,6,
0x10004760,0x10004AD0,363,4,
0x1002BF80,0x10019040,458,4,
0x10044540,0x1003DA90,184,4,
0x1003E680,0x10037C90,287,4,
0x1006A4A0,0x100634B0,1023,4,
0x100360F0,0x1002F790,2773,3,
0x10002FE0,0x10003320,255,3,CHK_FReadOpen
0x10002F90,0x100032D0,68,3,
0x10003290,0x100035E0,144,3,
0x10035BD1,0x1002F282,153,2,
0x1001BE90,0x1001E380,1934,2,
0x1001E7C0,0x1001FD70,441,2,
0x10021560,0x100215C0,1567,2,
0x10003580,0x100038F0,3792,2,
0x100709A0,0x10069930,333,2,
0x10071130,0x1006A080,624,2,
0x10043BF0,0x1003D140,59,2,
0x1007AC00,0x10058F90,22,2,
0x1005F530,0x10058300,68,2,
0x1006F4A0,0x10068450,152,2,
0x100765E0,0x1006F840,112,2,
0x10072CA0,0x1006BC10,352,2,
0x1002F4C0,0x1001CA30,104,1,
0x1002ADC0,0x10017E30,211,1,
0x1006F310,0x100682C0,389,1,
0x1000BEA0,0x100093D0,343,1,
0x1000BAF0,0x10009010,908,1,APPMSG_HOSTSTARTED
0x100173F0,0x10014960,665,1,
0x100193C0,0x10016980,207,1,
0x10018590,0x10015B10,2992,1,
0x1001C820,0x1001E7A0,488,1,
0x10020FA0,0x10021270,1392,1,
0x10024260,0x10023920,138,1,
0x10029470,0x10028BB0,2452,1,
0x100397C0,0x10032E40,1877,1,
0x100664C0,0x1005F530,75,1,
0x10037990,0x10031030,252,1,
0x10070580,0x10069530,143,1,
0x10061620,0x1005A6A0,56,1,
0x1003D3A0,0x10036A30,218,1,
0x1003E2C0,0x10008D60,69,1,
0x10070E80,0x10069DE0,665,1,
0x10041BD0,0x1003B130,534,1,
0x10045A00,0x1003EE90,147,1,
0x1005FBC0,0x10058900,289,1,
0x10047660,0x10040A90,89,1,
0x1005F690,0x100583C0,362,1,DDraw_DoInit
0x1005F940,0x10058680,629,1,
0x100771B0,0x10070490,78,1,
0x10061210,0x1005A280,119,1,
0x10061290,0x1005A300,286,1,
0x10074F70,0x1006E1D0,77,1,
0x100758A0,0x1006EB00,83,1,
0x1006A990,0x10063940,43,1,
0x1006F950,0x10068900,1651,1,
0x10070AF0,0x10069A80,870,1,
0x10072110,0x1006B080,83,1,
0x100737E0,0x1006C750,60,1,
0x10073820,0x1006C790,291,1,
0x10073950,0x1006C800,46,1,
0x100739E0,0x1006C880,215,1,
0x10025800,0x10024E30,35,1,
0x100759D0,0x1006EC30,1331,1,
0x10061F70,0x1005AFF0,3284,1,
0x10074090,0x1006D2E0,288,1,
0x10079390,0x10072680,0,1,
0x1007D370,0x10069A80,68,1,
0x1007E820,0x100745B0,143,1,
0x1007FDC0,0x10074960,355,1,
0x10086B90,0x10074B00,8,1,
