d3d_va,glide_va,size,class,matched_by
0x10001000,0x10001000,296,shared,body
0x10001130,,9,d3d_only,
0x10001140,,23,d3d_only,
0x10001160,,27,d3d_only,
0x10001180,,8,d3d_only,
0x10001190,,22,d3d_only,
0x100011B0,,50,d3d_only,
0x100011F0,0x10001510,977,shared,body
0x100015D0,0x100018F0,399,shared,body
0x10001760,0x10001A80,302,shared,body
0x10001890,0x10001BB0,210,shared,body
0x10001970,0x10001C90,85,shared,body
0x100019D0,0x10001CF0,1567,shared,prefix
0x10001FF0,0x10002310,201,shared,body
0x100020D0,0x100023F0,105,shared,prefix
0x10002140,0x10002460,252,shared,body
0x10002260,0x10002580,471,shared,body
0x10002440,0x10002760,56,shared,body
0x10002490,0x100027B0,39,shared,body
0x100024C0,0x100027E0,80,shared,body
0x10002510,0x10002830,60,shared,body
0x10002550,0x10002870,109,shared,body
0x100025C0,0x100028E0,37,shared,body
0x100025F0,,110,d3d_only,
0x10002660,,352,d3d_only,
0x100027C0,0x100028E0,37,shared,body
0x100027F0,0x10002B20,122,shared,body
0x10002870,0x10002BA0,88,shared,body
0x100028D0,,62,d3d_only,
0x10002910,0x10002C50,19,shared,body
0x10002930,0x10002C70,61,shared,body
0x10002970,0x10002CB0,61,shared,body
0x100029B0,0x10002CF0,64,shared,body
0x100029F0,0x100028E0,37,shared,body
0x10002A20,0x10002D60,90,shared,body
0x10002A80,0x10002DC0,86,shared,body
0x10002AE0,0x10002E20,94,shared,body
0x10002B40,0x10002E80,48,shared,body
0x10002B70,0x10002EB0,86,shared,body
0x10002BD0,0x10002F10,86,shared,body
0x10002C30,0x10002F70,180,shared,body
0x10002CF0,0x10003030,233,shared,body
0x10002DE0,0x10003120,170,shared,body
0x10002E90,0x100031D0,94,shared,body
0x10002EF0,0x10003230,66,shared,body
0x10002F40,0x10003230,66,shared,body
0x10002F90,,68,d3d_only,
0x10002FE0,,255,d3d_only,
0x100030E0,,137,d3d_only,
0x10003170,,105,d3d_only,
0x100031E0,,163,d3d_only,
0x10003290,,144,d3d_only,
0x10003320,,101,d3d_only,
0x10003390,,94,d3d_only,
0x100033F0,,108,d3d_only,
0x10003460,0x100037D0,56,shared,body
0x100034A0,0x10003810,136,shared,body
0x10003530,0x100038A0,77,shared,body
0x10003580,0x100038F0,3792,shared,prefix
0x10004590,0x10004900,309,shared,body
0x100046D0,0x10004A40,136,shared,body
0x10004760,0x10004AD0,363,shared,prefix
0x100048D0,0x10004C40,59,shared,body
0x10004910,0x10004C80,167,shared,body
0x100049C0,0x10004D30,65,shared,body
0x10004A10,0x10004D80,60,shared,body
0x10004A50,0x10004DC0,60,shared,body
0x10004A90,0x10004E00,287,shared,body
0x10004BB0,0x10004F20,43,shared,body
0x10004BE0,0x10004F50,52,shared,body
0x10004C20,0x10004F50,52,shared,body
0x10004C60,0x10004FD0,360,shared,body
0x10004DD0,0x10005140,122,shared,body
0x10004E50,0x100051C0,368,shared,body
0x10004FC0,0x10005330,194,shared,body
0x10005090,0x10005400,153,shared,body
0x10005130,0x100054A0,691,shared,body
0x100053F0,0x10005760,118,shared,body
0x10005470,0x100057E0,33,shared,body
0x100054A0,0x10005810,1070,shared,body
0x100058D0,0x10005C40,47,shared,body
0x10005900,0x10005C70,47,shared,body
0x10005930,0x10005CA0,47,shared,body
0x10005960,0x10005CD0,430,shared,body
0x10005B10,0x10005E80,205,shared,body
0x10005BE0,0x10005F50,264,shared,body
0x10005CF0,0x10004D80,60,shared,body
0x10005D40,0x100060B0,74,shared,body
0x10005D90,0x100060B0,74,shared,body
0x10005DE0,0x10006150,96,shared,body
0x10005E40,0x100061B0,43,shared,body
0x10005E70,0x100061E0,97,shared,body
0x10005EE0,0x10006250,93,shared,body
0x10005F40,0x100062B0,78,shared,body
0x10005F90,0x10006300,66,shared,body
0x10005FE0,,168,d3d_only,
0x10006090,0x10006400,38,shared,body
0x100060C0,0x10006430,38,shared,body
0x100060F0,0x10006460,100,shared,body
0x10006160,0x100064D0,51,shared,body
0x100061A0,0x10006510,1018,shared,prefix
0x100065A0,,56,d3d_only,
0x100065E0,,60,d3d_only,
0x10006620,,54,d3d_only,
0x10006660,,58,d3d_only,
0x100066A0,0x10006A10,62,shared,body
0x100066E0,,77,d3d_only,
0x10006730,,60,d3d_only,
0x10006770,,60,d3d_only,
0x100067B0,,60,d3d_only,
0x100067F0,,56,d3d_only,
0x10006830,0x10006BA0,925,shared,body
0x10006BD0,0x10006F40,738,shared,body
0x10006EC0,0x10007230,901,shared,body
0x10007250,0x100075C0,48,shared,body
0x10007280,0x100075F0,20,shared,body
0x100072A0,0x10007610,24,shared,body
0x100072C0,0x10007630,30,shared,body
0x100072E0,0x10007650,44,shared,body
0x10007310,0x10007680,33,shared,body
0x10007340,0x100076B0,51,shared,body
0x10007380,0x100075F0,20,shared,body
0x100073A0,0x100075F0,20,shared,body
0x100073C0,0x10007730,20,shared,body
0x100073E0,0x10007750,845,shared,body
0x10007730,0x10007AA0,680,shared,body
0x100079E0,0x10007D50,291,shared,body
0x10007B10,0x10007E80,129,shared,body
0x10007BA0,0x10007F10,36,shared,body
0x10007BD0,,2471,d3d_only,
0x10008580,0x10008760,61,shared,body
0x100085C0,0x100087A0,30,shared,body
0x100085E0,0x100087C0,14,shared,body
0x100085F0,,118,d3d_only,
