va,refs,text
0x100B8538,6,sfx/
0x100B5418,5,RCfg
0x100AD308,5,--:--
0x100AD328,5,RallySeason
0x1008F21C,5,33s?
0x100AABB0,4,%s%s
0x100AD320,4,.brf
0x100AD33C,4,TimeAttack
0x100B7CB8,4,tracks/
0x100A79D0,4,UNKNOWN
0x100AD310,3,AutoSave.brf
0x100AD334,3,.grf
0x10094574,3,NetworkPlay=
0x10094564,3,chosenTrack=
0x10094558,3,chosenCar=
0x10094548,3,chosenWeather=
0x1009453C,3,gameMode=
0x1009452C,3,ReadJoystick=
0x1009451C,3,HandlingType=
0x1009450C,3,SuspensionType=
0x10094500,3,TireType=
0x100944EC,3,TransmissionType=
0x100B80F8,3,cars/
0x100A6320,3,Boss Rally Error
0x100A819C,3,earpds.dll
0x100A648C,3,unknown
0x100B433C,2,ESCAPE
0x10094308,2, left the race.
0x100942EC,2, returned to race lobby.
0x100B3D00,2,MakeEnemyCarColorPanels: penm->aptex[cptex+3]
0x100943B4,2,Boss Rally
0x100943EC,2,szPlayerName=
0x100943E0,2,cPlayers=
0x100943D8,2,bcar=
0x100943D0,2,btire=
0x100943C0,2,bsuspension=
0x1009462C,2,LoadPod: %i >= m_cNumPods
0x10094690,2,Error opening %s: %s
0x100946AC,2,File read failure
0x100A6300,2,This game requires DirectX 6.
0x100AD348,2,RallySeason*.BRF
0x100AA6E4,2,DINPUT.DLL
0x100AA6B0,2,DirectInputCreateA
0x100B5D94,2,RSea
0x100B5D9C,2,RGho
0x100B7CA8,2,BRString.dll
0x100AD35C,2,TimeAttack*.GRF
0x100BDA80,2,sqrt
0x100BDA90,2,asin
0x100914E4,1,KERNEL32
0x100914F8,1,e+000
0x100B3644,1,Paint\%s
0x100B3650,1,Paint\damage%d.bmp
0x100AC628,1,231`EDCFaf
0x100940C4,1,cdaudio
0x10094140,1,CHK_FReadOpen():pfil
0x10094128,1,CHK_FReadOpen():szName
0x100940F8,1,c:\RallyError.txt
0x10094318,1, booted you from the game.
0x100942DC,1,%s finished %s
0x100A7E0C,1,AppendTexture: atdb
0x100B3DE8,1,MakeEnemyCarColorPanels: penm->aptex
0x100B3DC0,1,MakeEnemyCarColorPanels: penm->aptex[i]
