va,name,verdict,calls,captured,contexts,detail,date
0x100011c0,BrSurfBlt24,EQUIVALENT,4648,144,24,10_boot: 6 real call(s) agree,2026-09-24
0x10001320,BrUiSprBlit,EQUIVALENT,993275,144,24,10_boot: 6 real call(s) agree,2026-09-24
0x100014a0,BrSurfSetColourKey,EQUIVALENT,4640,144,24,10_boot: 6 real call(s) agree,2026-09-24
0x10001cf0,BrCamChaseStep,EQUIVALENT,85747,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10002460,BrRaceSelFromMenu,EQUIVALENT,6,6,6,21_quickrace_finish: 1 real call(s) agree,2026-09-24
0x10002580,BrCdEarChannelOpen,EQUIVALENT,24,24,24,10_boot: 1 real call(s) agree,2026-09-24
0x10003050,BrCdStopReleaseMsg,EQUIVALENT,1,1,1,80_quit: 1 real call(s) agree,2026-09-24
0x100030b0,BrCdStopReleaseMci,EQUIVALENT,1,1,1,22_ini_cdmusic: 1 real call(s) agree,2026-09-24
0x10003430,BrFChkFRead,EQUIVALENT,330,99,25,10_boot: 3 real call(s) agree,2026-09-24
0x100038f0,FUN_100038f0,EQUIVALENT,2143,18,5,61_mp_race: 6 real call(s) agree,2026-09-24
0x10005330,BrNetBeaconTick,EQUIVALENT,1899,18,3,61_mp_race: 6 real call(s) agree,2026-09-24
0x10005400,BrCdAudioTick,UNCOVERED,0,0,0,,2026-09-24
0x10005810,BrGhostPickBlend,EQUIVALENT,7638,18,3,61_mp_race: 6 real call(s) agree,2026-09-24
0x10006510,BrCarStateEncode,EQUIVALENT,635,18,3,61_mp_race: 6 real call(s) agree,2026-09-24
0x10007d50,BrCarStateLerp,EQUIVALENT,10398,18,11,61_mp_race: 6 real call(s) agree,2026-09-24
0x10008ba0,BrPodWriteOpen,UNCOVERED,0,0,0,,2026-09-24
0x10008c80,BrPodWriteClose,UNCOVERED,0,0,0,,2026-09-24
0x100096a0,BrDPlaySysMsgLog,EQUIVALENT,2,2,2,61_mp_race: 1 real call(s) agree,2026-09-24
0x1000a110,BrCarDrawVehicle,EQUIVALENT,41409,120,21,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1000cb20,BrViewBuffersRebase,EQUIVALENT,18980,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1000cba0,BrObjDlBuild,EQUIVALENT,447137,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1000df00,BrPolyClipPlane,EQUIVALENT,703,6,4,23_ini_swshadow: 6 real call(s) agree,2026-09-24
0x1000e320,BrSceneVisPrepare,EQUIVALENT,18960,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x1000eaf0,BrSceneDlBuild,EQUIVALENT,37960,90,40,20_quickrace_drive: 4 real call(s) agree,2026-09-24
0x10010fb0,BrPanelDlBuild,EQUIVALENT,18980,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10011fa0,BrFrameDraw,EQUIVALENT,19100,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x100131e0,BrSnapInterpDraw,EQUIVALENT,19221,120,39,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10013e80,BrRaceBeginResetOnce,EQUIVALENT,25,25,20,20_quickrace_drive: 1 real call(s) agree,2026-09-24
0x10013f20,BrSndBankPickSlot,EQUIVALENT,76773,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10013fd0,BrGfxDrawTexRect,EQUIVALENT,35810,114,38,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10014960,BrSub_100173F0,EQUIVALENT,17905,114,19,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10015300,BrHudDraw,EQUIVALENT,18019,114,19,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10015b10,BrTextEmitString,EQUIVALENT,202926,120,56,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10016980,BrFontMeasure,EQUIVALENT,141645,120,39,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10017110,BrEnvEmit,EQUIVALENT,18980,120,20,20_quickrace_drive: 6 real call(s) agree,2026-09-24
0x10017910,BrEarLoad,EQUIVALENT,24,24,24,10_boot: 1 real call(s) agree,2026-09-24
