va,evidence
0x10005400,placed-image A5 EQUIVALENT 48 seeds 2026-09-19 (spliced tail included in the run)
0x10016980,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x10020D70,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x10036300,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x10037F70,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x1003A140,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x1003BDE0,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x10059410,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x10063A60,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x10067710,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x1006B440,placed-image A5 EQUIVALENT 48 seeds 2026-09-19
0x1005AFF0,O2y body capped at the 3210B slot ran A5 EQUIVALENT 48 seeds 2026-09-19 (resolved-span run; re-verify placed image after rebuild)
