vram,size,module,how,name,status,pc_va,source
80200000,80,startup,confirmed,BrInstall_1001BAE0,SHAPE,,src/core/startup/br_objlife.c
80200050,184,,,,,,
80200108,32,drawing,confirmed,BrUiImgResetForTest,EXACT,,src/core/drawing/br_uiimg.c
80200128,44,menus,confirmed,BrHook_10044010,SHAPE,,src/core/menus/br_menuact.c
80200154,96,racing,confirmed,BrEntSlotsReset,SHAPE,,src/core/racing/br_racestart.c
802001B4,364,racing,inferred,,,,
80200320,92,racing,inferred,,,,
8020037C,104,racing,inferred,,,,
802003E4,136,racing,confirmed,BrRaceHudFrame,SHAPE,,src/core/racing/br_racebegin.c
8020046C,400,unfiled,confirmed,BrModelLightsDraw,SHAPE,,src/core/slice2_14.c
802005FC,56,settings,confirmed,BrBaseDirResetForTest,SHAPE,,src/core/settings/br_basedir.c
80200634,88,unfiled,confirmed,BrTimerStart1003C230,SHAPE,,src/core/slice4_53.c
8020068C,60,racing,confirmed,BrRaceEnterOutro,SHAPE,,src/core/racing/br_racebegin.c
802006C8,100,racing,confirmed,BrRaceCueLayout,SHAPE,,src/core/racing/br_racebegin.c
8020072C,56,racing,confirmed,BrRaceCueRewind,SHAPE,,src/core/racing/br_racebegin.c
80200764,200,,,,,,
8020082C,22448,,,,,,
80205FDC,256,,,,,,
802060DC,552,,,,,,
80206304,160,,,,,,
802063A4,1164,,,,,,
80206830,60,unfiled,confirmed,BrSfxCarBankInit,SHAPE,,src/core/slice3_41.c
8020686C,7428,,,,,,
80208570,912,,,,,,
80208900,208,,,,,,
802089D0,136,,,,,,
80208A58,664,,,,,,
80208CF0,1860,,,,,,
80209434,2364,,,,,,
80209D70,1972,,,,,,
8020A524,384,,,,,,
8020A6A4,380,,,,,,
8020A820,432,,,,,,
8020A9D0,272,,,,,,
8020AAE0,312,,,,,,
8020AC18,312,,,,,,
8020AD50,12,menus,confirmed,BrUiNavInstallPageVtbl,SHAPE,,src/core/menus/br_uinav.c
8020AD5C,5408,,,,,,
8020C27C,396,,,,,,
8020C408,88,unfiled,confirmed,BrUiHook84_10046710,SHAPE,,src/core/slice8_84.c
8020C460,524,,,,,,
8020C66C,100,,,,,,
8020C6D0,2164,,,,,,
8020CF44,192,,,,,,
8020D004,16200,,,,,,
80210F4C,52,racing,confirmed,BrRaceEntrantCountSet,SHAPE,,src/core/racing/br_racestart.c
80210F80,72,,,,,,
80210FC8,392,,,,,,
80211150,68,unfiled,confirmed,BrUiHook89_10044D00,SHAPE,,src/core/slice8_89.c
80211194,76,unfiled,confirmed,BrPhaseHook_10045050,SHAPE,,src/core/slice2_26.c
802111E0,768,,,,,,
802114E0,512,,,,,,
802116E0,352,,,,,,
80211840,60,,,,,,
8021187C,56,unfiled,confirmed,PopInclude,SHAPE,,src/exe/brally/0x00401690.c
802118B4,68,,,,,,
802118F8,60,,,,,,
80211934,56,unfiled,confirmed,PopInclude,SHAPE,,src/exe/setvideo/0x00401AF0.c
8021196C,208,,,,,,
80211A3C,820,,,,,,
80211D70,11468,,,,,,
80214A3C,76,startup,confirmed,BrWrap_100715E0,SHAPE,,src/core/startup/br_objlife.c
80214A88,356,,,,,,
80214BEC,196,,,,,,
80214CB0,348,,,,,,
80214E0C,6612,,,,,,
802167E0,2280,,,,,,
802170C8,520,,,,,,
802172D0,140,,,,,,
8021735C,92,racing,confirmed,BrRaceDriverReset,SHAPE,,src/core/racing/br_racebegin.c
802173B8,16,unfiled,confirmed,BrScratchRingNull,EXACT,,src/core/slice2_17.c
802173C8,88,unfiled,confirmed,BrUiHook81Install,SHAPE,,src/core/slice7_81.c
80217420,136,unfiled,confirmed,BrFloat12MaxAbs,SHAPE,,src/core/slice2_17.c
802174A8,12,,,,,,
802174B4,352,,,,,,
80217614,288,unfiled,confirmed,BrTexSizeShift,SHAPE,,src/core/slice2_17.c
80217734,1368,,,,,,
80217C8C,8,,,,,,
80217C94,396,,,,,,
80217E20,408,,,,,,
80217FB8,332,,,,,,
80218104,420,,,,,,
802182A8,2532,,,,,,
80218C8C,208,,,,,,
80218D5C,1812,,,,,,
80219470,1452,,,,,,
80219A1C,32,drawing,confirmed,BrDlGlScissorInt,SHAPE,,src/core/drawing/br_dlglide.c
80219A3C,32,drawing,confirmed,BrDlGlScissorFrac,SHAPE,,src/core/drawing/br_dlglide.c
80219A5C,28,unfiled,confirmed,BrStub10008B80,EXACT,,src/core/slice6_74.c
80219A78,376,,,,,,
80219BF0,512,,,,,,
80219DF0,276,,,,,,
80219F04,104,unfiled,confirmed,BrViewportReEmit,SHAPE,,src/core/slice2_18.c
80219F6C,396,,,,,,
8021A0F8,976,,,,,,
8021A4C8,120,,,,,,
8021A540,120,,,,,,
8021A5B8,872,,,,,,
8021A920,68,unfiled,confirmed,BrHudTextBegin,SHAPE,,src/core/slice2_18.c
8021A964,80,unfiled,confirmed,BrHudTextEnd,SHAPE,,src/core/slice2_18.c
8021A9B4,84,unfiled,confirmed,BrFileOpenWrite,SHAPE,,src/core/slice2_13.c
8021AA08,1724,,,,,,
8021B0C4,564,,,,,,
8021B2F8,352,unfiled,confirmed,BrCamMatrixSetup,SHAPE,,src/core/slice2_19.c
