addr,symbol,size,needed_by
0x1003C020,BrSub1003C020,294,slice2_25|slice4_50|slice4_53
0x1003CE80,BrSub1003CE80,311,slice2_13|slice2_25|slice4_50
0x100419D0,BrExt_100419D0,42,slice2_26|slice3_31|slice4_50
0x10075330,BrGbiCall10075330,1,slice2_16|slice3_44
0x10002910,BrCdTrackGet,19,slice2_11|slice3_32
0x1003BF60,BrSub1003BF60,111,slice2_25|slice4_50
0x1003E310,BrSub1003E310,137,slice2_25|slice3_32
0x10048710,BrOptObjCtor,310,slice2_25|slice4_50
0x1005FCF0,BrSub1005FCF0,183,slice2_25|slice3_32
0x1003DFC0,BrExt_1003DFC0,66,slice2_26|slice3_31
0x1003E510,BrExt_1003E510,368,slice2_26|slice3_31
0x1003E680,BrExt_1003E680,287,slice2_26|slice3_31
0x1001E7C0,BrGbiGeoModeChanged,441,slice2_16
0x100243D0,BrGbiCall100243D0,8,slice2_16
0x10020FA0,BrGbiCall10020FA0,1392,slice2_16
0x10024260,BrGbiCall10024260,138,slice2_16
0x10029470,BrGbiCall10029470,2452,slice2_16
0x10042AF0,BrGfx42AF0_1,6,slice2_18
0x10060E90,BrTimeNow,5,slice2_18
0x10035CE0,BrEnt35CE0,690,slice2_18
0x10035FC0,BrEnt35FC0,21,slice2_18
0x1005B0C0,BrTextBoxDtor,7,slice3_39
0x100771B0,BrDikGetDeviceState,78,slice3_39
0x1003D210,BrFn1003D210,389,slice2_23
0x1002B2A0,BrSub_1002B2A0,37,slice2_15
0x1003407D,BrSub_1003407D,310,slice2_15
0x100020D0,BrSub_100020D0,105,slice2_15
0x1003289F,BrSub_1003289F,419,slice2_15
0x10017290,BrSub_10017290,238,slice2_15
0x100173F0,BrSub_100173F0,665,slice2_15
0x10019260,BrSub_10019260,8,slice2_15
0x10019270,BrSub_10019270,8,slice2_15
0x10019280,BrSub_10019280,8,slice2_15
0x10019290,BrSub_10019290,8,slice2_15
0x100192F0,BrSub_100192F0,10,slice2_15
0x10031140,BrSub_10031140,71,slice2_15
0x10031688,BrSub_10031688,478,slice2_15
0x10069490,BrSub_10069490,77,slice2_15
0x1001BE90,BrSub_1001BE90,1934,slice2_15
0x1001C820,BrSub_1001C820,488,slice2_15
0x100290A0,BrSub_100290A0,53,slice2_15
0x1006F720,BrCollGridCellAcquire,551,slice2_11
0x100027C0,BrCdTrackPlay,37,slice2_11
0x10004C60,BrNetSendFull,360,slice2_11
0x10004E50,BrNetSendDelta,368,slice2_11
0x10004FC0,BrNetKeepAliveTick,194,slice2_11
0x100765E0,BrSub100765E0,112,slice3_45
0x10074090,BrSub10074090,288,slice3_45
0x10062C50,BrSub10062C50,1909,slice3_45
0x100603A0,BrSub100603A0,939,slice4_52
0x1006F4A0,BrSub1006F4A0,152,slice3_40
0x1008C000,BrItoa,61,slice2_25
0x1003C1E0,BrSub1003C1E0,71,slice2_25
0x1003CDA0,BrSub1003CDA0,212,slice2_25
0x1003D210,BrSub1003D210,389,slice2_25
0x1003E680,BrSub1003E680,287,slice2_25
0x1003F2B0,BrSub1003F2B0,112,slice2_25
0x1003F320,BrSub1003F320,285,slice2_25
0x10044540,BrSub10044540,184,slice2_25
0x10058700,BrSub10058700,72,slice2_25
0x10060D90,BrSub10060D90,46,slice2_25
0x10071130,BrSub10071130,624,slice2_25
0x1002B920,BrFtolArg,9,slice2_21
0x1003E310,BrExt_1003E310,137,slice3_31
0x10079550,BrExt_10079550,120,slice3_31
0x1005FBC0,BrExt_1005FBC0,289,slice3_31
0x10041A00,BrExt_10041A00,179,slice3_31
0x10041AC0,BrExt_10041AC0,144,slice3_31
0x10042410,BrExt_10042410,179,slice3_31
0x100424D0,BrExt_100424D0,144,slice3_31
0x10043260,BrExt_10043260,201,slice3_31
0x10043330,BrExt_10043330,201,slice3_31
0x1003D130,BrSub1003D130,71,slice4_50
0x1003C5C0,BrSub1003C5C0,383,slice4_50
0x1003D030,BrSub1003D030,55,slice4_50
0x1003C740,BrSub1003C740,615,slice4_50
0x10071550,BrSub10071550,16,slice4_50
0x10005B10,BrSub10005B10,205,slice4_50
0x1003E510,BrSub1003E510,368,slice4_50
0x100341B3,BrSub100341B3,39,slice2_19
0x1002BF80,BrSub1002BF80,458,slice2_19
0x10043BF0,BrExt_10043BF0,59,slice2_26
0x10043CD0,BrExt_10043CD0,201,slice2_26
0x10043E70,BrExt_10043E70,216,slice2_26
0x100440D0,BrExt_100440D0,201,slice2_26
0x100443E0,BrExt_100443E0,222,slice2_26
0x10044280,BrExt_10044280,340,slice2_26
0x10038F30,BrExt_10038F30,195,slice2_26
0x1003DB00,BrExt_1003DB00,67,slice2_26
0x1003BF60,BrExt_1003BF60,111,slice2_26
